Date,SWBRDEP Index  (L1),SWRLINDX Index  (R1)
2023-06-07,3.40,
2023-03-31,2.90,0.001066
2022-12-31,2.40,0.001018
2022-09-30,1.65,0.000957
2022-06-30,0.15,0.000949
2022-03-31,-0.10,0.000972
2021-12-31,-0.10,0.00098
2021-09-30,-0.10,0.000982
2021-06-30,-0.10,0.001034
2021-03-31,-0.10,0.001095
2020-12-31,-0.10,0.001135
2020-09-30,-0.10,0.001181
2020-06-30,-0.10,0.001212
2020-03-31,-0.10,0.001238
2019-12-31,-0.35,0.001252
2019-09-30,-1.00,0.001255
2019-06-30,-1.00,0.00128
2019-03-31,-1.00,0.001297
2018-12-31,-1.25,0.0013
2018-09-30,-1.25,0.001299
2018-06-30,-1.25,0.001305
2018-03-31,-1.25,0.00129
2017-12-31,-1.25,0.001279
2017-09-30,-1.25,0.001279
2017-06-30,-1.25,0.001305
2017-03-31,-1.25,0.001348
2016-12-31,-1.25,0.001376
2016-09-30,-1.25,0.001381
2016-06-30,-1.25,0.001427
2016-03-31,-1.25,0.001458
2015-12-31,-1.10,0.001462
2015-09-30,-1.10,0.001499
2015-06-30,-1.00,0.001553
2015-03-31,-1.00,0.00161
2014-12-31,-0.75,0.001645
2014-09-30,-0.50,0.001664
2014-06-30,0.00,0.001715
2014-03-31,0.00,0.001757
2013-12-31,0.00,0.001786
2013-09-30,0.25,0.001802
2013-06-30,0.25,0.001828
2013-03-31,0.25,0.001855
2012-12-31,0.25,0.001855
2012-09-30,0.50,0.001855
2012-06-30,0.75,0.001883
2012-03-31,0.75,0.001905
2011-12-31,1.00,0.001898
2011-09-30,1.25,0.001832
2011-06-30,1.00,0.001828
2011-03-31,0.75,0.001838
2010-12-31,0.50,0.001842
2010-09-30,0.00,0.001848
2010-06-30,-0.25,0.001859
2010-03-31,-0.25,0.001901
2009-12-31,-0.25,0.001938
2009-09-30,-0.25,0.001972
2009-06-30,0.00,0.002024
2009-03-31,0.25,0.002105
2008-12-31,1.25,0.002075
2008-09-30,4.00,0.002
2008-06-30,3.50,0.002028
2008-03-31,3.50,0.002058
2007-12-31,3.25,0.002033
2007-09-30,3.00,0.002037
2007-06-30,2.75,0.002128
2007-03-31,2.50,0.002242
2006-12-31,2.25,0.002262
2006-09-30,1.75,0.002278
2006-06-30,1.50,0.002347
2006-03-31,1.25,0.002421
2005-12-31,0.75,0.0025
2005-09-30,0.75,0.002551
2005-06-30,0.75,0.002653
2005-03-31,1.25,0.002747
2004-12-31,1.25,0.002762
2004-09-30,1.25,0.002793
2004-06-30,1.25,0.002857
2004-03-31,1.75,0.002976
2003-12-31,2.00,0.00304
2003-09-30,2.00,0.003067
2003-06-30,2.25,0.003135
2003-03-31,2.75,0.003205
2002-12-31,3.00,0.003226
2002-09-30,3.50,0.003236
2002-06-30,3.50,0.003356
2002-03-31,3.25,0.00346
2001-12-31,3.00,0.003521
2001-09-30,3.00,0.003472
2001-06-30,3.25,0.003534
2001-03-31,3.25,0.003584
2000-12-31,3.25,0.00369
2000-09-30,2.75,0.003704
2000-06-30,2.75,0.003831
2000-03-31,2.75,0.004016
1999-12-31,2.75,0.004132
1999-09-30,2.75,0.004132
1999-06-30,2.75,0.004255
1999-03-31,2.75,0.004425
1998-12-31,3.25,0.004484
1998-09-30,3.75,0.004545
1998-06-30,3.75,0.004673
1998-03-31,3.75,0.004831
1997-12-31,3.75,0.004975
1997-09-30,3.75,0.004975
1997-06-30,3.75,0.005076
1997-03-31,3.75,0.005263
1996-12-31,3.75,0.005348
1996-09-30,4.75,0.005348
1996-06-30,5.25,0.005435
1996-03-31,6.75,0.005495
1995-12-31,8.00,0.005525
1995-09-30,8.00,0.005435
1995-06-30,8.00,0.005376
1995-03-31,,0.005464
1994-12-31,,0.005464
1994-09-30,,0.005376
1994-06-30,,0.005435
1994-03-31,,0.005587
